"CVE_GEOEST","LATITUD","LONGITUD","ALTITUD","CARTA_TOPO","TIPO","NOMBRE_EDO","NOMBRE_MUN"
"010010451","21°53'00.000""N","102°02'52.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010452","21°48'31.000""N","102°07'40.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010453","22°02'36.000""N","102°16'22.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010010462","22°03'52.000""N","102°16'38.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010463","21°56'25.000""N","102°04'07.000""W","2070","F13D19","R","Aguascalientes","Aguascalientes"
"010010483","22°04'47.000""N","102°17'18.000""W","1890","F13B89","R","Aguascalientes","Aguascalientes"
"010010485","21°52'08.000""N","102°22'26.000""W","1890","F13D18","R","Aguascalientes","Aguascalientes"
"010010486","21°58'39.000""N","102°17'07.000""W","1860","F13D19","R","Aguascalientes","Aguascalientes"
"010010489","22°02'15.000""N","102°16'39.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010010495","21°53'36.000""N","102°08'38.000""W","2025","F13D19","R","Aguascalientes","Aguascalientes"
"010010510","21°55'07.000""N","102°09'22.000""W","2050","F13D19","R","Aguascalientes","Aguascalientes"
"010010580","22°04'57.000""N","102°17'39.000""W","1900","F13B89","R","Aguascalientes","Aguascalientes"
"010010586","22°03'25.000""N","102°16'41.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010588","22°03'26.000""N","102°16'31.000""W","1885","F13B89","R","Aguascalientes","Aguascalientes"
"010010595","21°49'37.000""N","102°05'02.000""W","2005","F13D19","R","Aguascalientes","Aguascalientes"
"010010608","21°49'06.000""N","102°05'04.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010709","21°52'16.000""N","102°08'06.000""W","1960","F13D19","R","Aguascalientes","Aguascalientes"
"010010710","21°51'17.000""N","102°04'47.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010711","21°50'47.000""N","102°19'50.000""W","1840","F13D19","R","Aguascalientes","Aguascalientes"
"010010712","21°54'15.000""N","102°05'33.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010718","22°00'11.000""N","102°01'43.000""W","2040","F13B89","R","Aguascalientes","Aguascalientes"
"010010719","21°56'50.000""N","102°13'28.000""W","1970","","R","Aguascalientes","Aguascalientes"
"010010721","21°52'50.000""N","102°04'32.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010724","22°04'58.000""N","102°17'05.000""W","1880","F13B89|","R","Aguascalientes","Aguascalientes"
"010010727","21°51'11.000""N","102°02'10.000""W","1990","F13D19","R","Aguascalientes","Aguascalientes"
"010010730","21°50'25.000""N","102°03'31.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010739","21°50'59.000""N","102°05'20.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010743","21°53'47.000""N","102°03'07.000""W","2025","F13D19","R","Aguascalientes","Aguascalientes"
"010010756","22°04'26.000""N","102°13'35.000""W","1950","F13B89","R","Aguascalientes","Aguascalientes"
"010010758","21°57'58.000""N","102°06'14.000""W","2020","F13D19","R","Aguascalientes","Aguascalientes"
"010010760","22°03'15.000""N","102°16'25.000""W","1895","F13B89","R","Aguascalientes","Aguascalientes"
"010010763","22°02'32.000""N","102°18'04.000""W","1880","F13B89","R","Aguascalientes","Aguascalientes"
"010010765","22°03'15.000""N","102°16'42.000""W","1885","F13B89","R","Aguascalientes","Aguascalientes"
"010010767","21°56'59.000""N","102°08'37.000""W","2045","F13D19","R","Aguascalientes","Aguascalientes"
"010010779","21°59'19.000""N","102°16'24.000""W","1885","F13D19","R","Aguascalientes","Aguascalientes"
"010010860","21°59'01.000""N","102°16'01.000""W","1895","F13D19","R","Aguascalientes","Aguascalientes"
"010010861","22°00'40.000""N","102°13'40.000""W","1810","F13B89","R","Aguascalientes","Aguascalientes"
"010010868","21°51'41.000""N","102°13'39.000""W","2000","F13D19","R","Aguascalientes","Aguascalientes"
"010010871","21°57'35.000""N","102°14'50.000""W","1980","F13D19","R","Aguascalientes","Aguascalientes"
"010010924","21°40'29.000""N","102°27'16.000""W","1770","F13D28","R","Aguascalientes","Aguascalientes"
"010010926","21°55'10.000""N","102°02'29.000""W","2030","F13D19","R","Aguascalientes","Aguascalientes"
"010010928","22°01'15.000""N","102°15'39.000""W","1890","F13B89","R","Aguascalientes","Aguascalientes"
"010010930","21°45'20.000""N","102°17'44.000""W","1850","F13D19","R","Aguascalientes","Aguascalientes"
"010012110","21°50'35.000""N","102°18'25.000""W","1900","F13D19","R","Aguascalientes","Aguascalientes"
"010012113","21°42'02.000""N","102°26'43.000""W","1820","F13D28","R","Aguascalientes","Aguascalientes"
"010012116","21°54'12.000""N","102°20'16.000""W","1900","F13D18","R","Aguascalientes","Aguascalientes"
"010012126","21°51'32.000""N","102°13'55.000""W","1980","F13D19","R","Aguascalientes","Aguascalientes"
"010020099","22°03'56.000""N","102°00'16.000""W","1990","F13B89","R","Aguascalientes","Asientos"
"010020106","22°04'29.000""N","102°07'01.000""W","2019","F13B89","R","Aguascalientes","Asientos"
"010020107","22°05'35.000""N","102°05'20.000""W","1970","F13B89","R","Aguascalientes","Asientos"
"010020115","22°02'35.000""N","101°58'40.000""W","2030","F14A81","R","Aguascalientes","Asientos"
"010020116","22°03'40.000""N","101°58'59.000""W","2040","F14A81","R","Aguascalientes","Asientos"
"010020120","22°07'54.000""N","102°11'47.000""W","1990","F13B89","R","Aguascalientes","Asientos"
"010020138","22°15'19.000""N","102°01'33.000""W","2020","F13B79","R","Aguascalientes","Asientos"
"010030232","21°45'29.000""N","102°36'13.000""W","2040","F13D18","R","Aguascalientes","Calvillo"
"010040044","22°21'15.000""N","102°17'31.000""W","1980","F13B79","R","Aguascalientes","Cosío"
"010040065","22°18'36.000""N","102°14'19.000""W","1930","F13B79","R","Aguascalientes","Cosío"
"010040067","22°21'57.000""N","102°20'20.000""W","2140","F13B78","R","Aguascalientes","Cosío"
"010040068","22°18'05.000""N","102°17'00.000""W","1940","F13B79","R","Aguascalientes","Cosío"
"010040084","22°25'25.000""N","102°17'43.000""W","1990","F13B79","R","Aguascalientes","Cosío"
"010050086","21°59'26.000""N","102°17'47.000""W","1882","F13D19","R","Aguascalientes","Jesús María"
"010050096","21°59'01.000""N","102°18'15.000""W","1865","F13D19","R","Aguascalientes","Jesús María"
"010050100","21°58'06.000""N","102°18'25.000""W","1880","F13D19","R","Aguascalientes","Jesús María"
"010050176","21°58'16.000""N","102°28'42.000""W","2110","F13D18","R","Aguascalientes","Jesús María"
"010050177","21°57'28.000""N","102°34'26.000""W","2330","F13D18","R","Aguascalientes","Jesús María"
"010050213","21°56'47.000""N","102°25'28.000""W","2000","F13D18","R","Aguascalientes","Jesús María"
"010050215","21°59'44.000""N","102°20'02.000""W","1880","F13B89","R","Aguascalientes","Jesús María"
"010050217","21°55'54.000""N","102°23'48.000""W","2060","F13D18","R","Aguascalientes","Jesús María"
"010050220","21°58'28.000""N","102°20'53.000""W","1904","F13D18","R","Aguascalientes","Jesús María"
"010050221","21°59'23.000""N","102°19'05.000""W","1870","F13D19","R","Aguascalientes","Jesús María"
"010050224","21°58'17.000""N","102°20'50.000""W","1902","F13D18","R","Aguascalientes","Jesús María"
"010050225","21°58'18.000""N","102°22'16.000""W","1909","F13B18","R","Aguascalientes","Jesús María"
"010060060","22°08'28.000""N","102°18'12.000""W","1895","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060067","22°10'01.000""N","102°17'58.000""W","1915","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060072","22°08'36.000""N","102°18'49.000""W","1895","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010050401","21°57'03.000""N","102°20'07.000""W","1885","F13D18","R","Aguascalientes","Jesús María"
"010050402","21°57'45.000""N","102°20'09.000""W","1900","F13D18","R","Aguascalientes","Jesús María"
"010050406","21°56'33.000""N","102°20'03.000""W","1880","F13D18","R","Aguascalientes","Jesús María"
"010060054","22°08'27.000""N","102°18'22.000""W","1890","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060058","22°08'14.000""N","102°17'08.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060066","22°09'53.000""N","102°18'33.000""W","1922","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060094","22°09'57.000""N","102°16'25.000""W","1908","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060095","22°09'44.000""N","102°15'54.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060098","22°07'55.000""N","102°17'28.000""W","1905","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060043","22°04'58.000""N","102°17'05.000""W","1880","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060163","22°03'09.000""N","102°18'29.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060179","22°08'43.000""N","102°18'18.000""W","1895","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060217","22°08'32.000""N","102°18'41.000""W","1898","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060139","22°09'30.000""N","102°18'07.000""W","1920","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060174","22°04'42.000""N","102°18'59.000""W","1875","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060180","22°07'43.000""N","102°18'26.000""W","1899","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060187","22°09'35.000""N","102°15'50.000""W","1902","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060192","22°07'38.000""N","102°17'43.000""W","1880","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060213","22°08'37.000""N","102°17'39.000""W","1920","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060214","22°08'44.000""N","102°15'25.000""W","1903","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060222","22°09'36.000""N","102°16'28.000""W","1905","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060223","22°09'48.000""N","102°16'08.000""W","1905","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060226","22°04'38.000""N","102°12'38.000""W","1980","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060142","22°08'41.000""N","102°18'20.000""W","1890","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060289","22°09'34.000""N","102°15'54.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060301","22°05'12.000""N","102°15'41.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
"010060306","22°08'09.000""N","102°16'47.000""W","1900","F13B89","R","Aguascalientes","Pabellón de Arteaga"
